Id;Name;StartDate;CreatedAt;Status;Error;EndDate;ConfigType;Provider;ModelName;SpentTokens
e70b5e92-9ebc-41fb-b018-ab8ed3e15b9e;ClusterCommentTrendProcessingJob;2026-04-14 05:46:22.95687+00;2026-04-14 05:46:22.95687+00;1;"";2026-04-14 06:07:19.956388+00;Hybrid;Ollama;ilyagusev/saiga_llama3;128541
49b179b0-5ea8-426a-8e62-ae16b46ef4f1;PostTagProcessingJob;2026-04-14 03:09:39.030185+00;2026-04-14 03:09:39.030185+00;1;"";2026-04-14 03:30:35.01628+00;Hybrid;Ollama;ilyagusev/saiga_llama3;483143
ffa35770-278e-4cbb-9127-3943e8214c8f;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 03:36:47.040376+00;2026-04-14 03:36:47.040376+00;1;"";2026-04-14 04:19:52.712683+00;Hybrid;Ollama;ilyagusev/saiga_llama3;543348
c2185e00-0665-46cb-9ad7-aeffed80c86f;TelegramPostCommentTrendProcessingJob;2026-04-14 04:31:16.495895+00;2026-04-14 04:31:16.495895+00;1;"";2026-04-14 06:16:59.564495+00;Hybrid;Ollama;ilyagusev/saiga_llama3;761721
1adf0efd-84ea-4bf8-9f01-10f8aec59c91;PostEmotionalAnalysisProcessingJob;2026-04-14 03:48:09.204809+00;2026-04-14 03:48:09.204809+00;1;"";2026-04-14 04:49:37.533835+00;Hybrid;Ollama;ilyagusev/saiga_llama3;557007
6d8fde14-3dd8-4722-99f1-52efea3d2077;ClusterCommentTrendProcessingJob;2026-04-14 04:26:17.341576+00;2026-04-14 04:26:17.341576+00;1;"";2026-04-14 04:45:21.391776+00;Hybrid;Ollama;ilyagusev/saiga_llama3;134349
16c926a4-ac9c-483c-973b-6ed072e6223a;PostTagProcessingJob;2026-04-14 04:26:57.505697+00;2026-04-14 04:26:57.505697+00;1;"";2026-04-14 04:47:00.665677+00;Hybrid;Ollama;ilyagusev/saiga_llama3;419943
b82ff1c5-8184-4d6f-820f-2253035172b6;ClusterCommentTrendProcessingJob;2026-04-14 03:30:00.339181+00;2026-04-14 03:30:00.339181+00;1;"";2026-04-14 03:46:01.564259+00;Hybrid;Ollama;ilyagusev/saiga_llama3;107199
60f6f039-f244-4c86-b252-6cf603b53a25;TelegramPostCommentTrendProcessingJob;2026-04-14 07:16:57.40173+00;2026-04-14 07:16:57.40173+00;1;"";2026-04-14 08:52:50.07166+00;Hybrid;Ollama;ilyagusev/saiga_llama3;673043
"0fcb7be5-f952-4ce4-a247-d7980526071e";ClusterCommentTrendProcessingJob;2026-04-14 10:24:38.331835+00;2026-04-14 10:24:38.331835+00;1;"";2026-04-14 10:43:07.68105+00;Hybrid;Ollama;ilyagusev/saiga_llama3;137134
