Id;Name;StartDate;EndDate;Status;Error;Metrics
24cfba25-5d2c-4b52-903e-97884bfcbc33;ClusterCommentTrendProcessingJob;2026-04-14 06:45:17.671938+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;"Суммарное количество обработанных инфоповодов: 965
                    Всего проанализировано комментариев: 8118
                    Среднее количество комментариев на инфоповод: 8.41
                    Количество LLM запросов: 379
                    Суммарное время LLM: 1123783 мс
                    Среднее время LLM запроса: 2965.1 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 2.11%"
e9870a71-97e0-4b37-b1b0-36b0df6a9546;TelegramProcessingJob;2026-04-14 06:38:43.579118+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;"Количество активных источников для сбора: 6 922
Количество полностью обработанных источников: 6 889
Количество источников к которым было подключение: 6 890
Общее количество использованных аккаунтов: 156
Суммарное количество новых постов: 4 632
Суммарное количество всех постов: 238 293
Суммарное количество смен прокси: 0
Количество уникальных прокси: 0
Среднее количество источников на один прокси: 0,0
Медианный пинг прокси: 0 мс
Доля источников со сменой прокси: 0,0%"
684cdf0e-6070-45d5-a3ab-cb498a6eb1f9;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 06:35:27.076555+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;"Суммарное количество обработанных постов: 225
Среднее количество комментариев на один пост: 10.00
Среднее время LLM запроса (мс): 2726.96
Суммарное время выполнения всех LLM-запросов (мс): 613566.00 мс
Общее количество выполненных LLM-запросов: 225"
97ecad6c-96a8-42c0-9a05-7effbdd1a777;PostEmotionalAnalysisProcessingJob;2026-04-14 06:30:52.041266+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;""
b7086a25-c232-4595-9e4a-ccc6c1b9422b;ClusterCommentTrendProcessingJob;2026-04-14 06:25:38.274654+00;2026-04-14 06:45:17.562445+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8421
                    Среднее количество комментариев на инфоповод: 8.42
                    Количество LLM запросов: 395
                    Суммарное время LLM: 1083156 мс
                    Среднее время LLM запроса: 2742.2 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 2.28%"
"02ee8f54-2840-4c02-989d-a8dd64de181e";PostTagProcessingJob;2026-04-14 06:24:11.294458+00;2026-04-14 06:51:43.708671+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.07%
            Доля постов с 2-4 тегами: 1.27%
            Доля постов с 1 тегом: 0.67%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 0.00%
            Среднее время от появления поста до тегирования: 7.2 ч
            БД:           0.75% / ( 12333 мс / 1521 запросов)
            OpenSearch:   0.19% / (  3157 мс /  69 запросов)
            LLM:         94.63% / (1563665 мс / 1500 запросов)
            Среднее время LLM запроса: 1042.4 мс"
bd2670bc-d3bb-4af2-ac5a-69f2f5dbee22;ClusterMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 06:21:41.223167+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;"Суммарное количество обработанных инфоповодов: 1040
                        Среднее количество комментариев: 10.00
                        Среднее время LLM запроса: 2427.2 мс"
88eda7ec-38c2-4b5c-90fa-38a1b32d81e1;TelegramPostCommentTrendProcessingJob;2026-04-14 06:16:59.566749+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;""
336e9366-6bdb-4f75-8eb4-0229cef3d5c3;PostTagProcessingJob;2026-04-14 06:09:34.947625+00;2026-04-14 06:24:11.261717+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.67%
            Доля постов с 2-4 тегами: 1.20%
            Доля постов с 1 тегом: 0.13%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 0.00%
            Среднее время от появления поста до тегирования: 25.7 мин
            БД:           1.39% / ( 12193 мс / 1521 запросов)
            OpenSearch:   0.34% / (  3019 мс /  69 запросов)
            LLM:         95.09% / (833290 мс / 1500 запросов)
            Среднее время LLM запроса: 555.5 мс"
af21ac52-5665-432d-8312-30c94b2c4b52;ClusterCommentTrendProcessingJob;2026-04-14 06:07:19.957541+00;2026-04-14 06:25:38.022626+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8419
                    Среднее количество комментариев на инфоповод: 8.42
                    Количество LLM запросов: 395
                    Суммарное время LLM: 787748 мс
                    Среднее время LLM запроса: 1994.3 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 2.53%"
